title,abstract,domain,technologies,Year,source_url
Usability Study and Prototype for Attendance,Design and evaluate an interactive interface that improves user experience around attendance through prototyping and user studies.,Human-Computer Interaction,"User Studies, React, A/B Testing, Figma",2024.0,
Recommendations for Waste Management on E-commerce,Build an intelligent storefront or recommendation system to enhance waste management shopping and transaction workflows online.,E-commerce,"React, Firebase, MongoDB",2025.0,
Mobile App for Crop Yield Management,Create a cross-platform mobile application to help users manage crop yield with an intuitive UI and backend services.,Mobile Development,"React Native, Swift, Flutter",2024.0,
Cross-platform Autonomous Delivery App using Flutter,Create a cross-platform mobile application to help users manage autonomous delivery with an intuitive UI and backend services.,Mobile Development,"React Native, Firebase, Android SDK, Flutter",2025.0,
Autonomous Inventory Robot,"Develop a robotic system capable of performing inventory tasks autonomously using sensors, actuators and planning algorithms.",Robotics,"C++, OpenCV",2025.0,
Automated Remote Monitoring CI/CD Pipeline,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to remote monitoring reliably.,DevOps,"Ansible, Docker",2022.0,
Energy Trading Recognition using Computer Vision,Use computer vision techniques to detect and analyze energy trading from images or video in real-time with high accuracy.,Computer Vision,"YOLO, PyTorch",2024.0,
Embedded Energy Consumption Monitoring Unit,"Develop a low-power embedded unit for monitoring or controlling energy consumption, optimized for resource constraints.",Embedded Systems,"FreeRTOS, Serial Communication",2022.0,
Embedded Language Learning Monitoring Unit,"Develop a low-power embedded unit for monitoring or controlling language learning, optimized for resource constraints.",Embedded Systems,"FreeRTOS, C++, Microcontrollers",2024.0,
Cloud-native Virtual Classroom Service using Kubernetes,"Implement a scalable cloud solution for processing virtual classroom workloads, using containerization and orchestration for reliability.",Cloud Computing,"Docker, Kubernetes, GCP, Azure, AWS",2025.0,
Progressive Web App for Water Quality,"Build a web platform that enables users to manage and interact with water quality data, featuring authentication, dashboards, and real-time updates.",Web Development,"Next.js, Django, JavaScript",2022.0,
Text Classification for Parking,"Build an NLP system to process parking text, performing classification, summarization or conversational tasks.",Natural Language Processing,"Transformers, HuggingFace, GPT",2023.0,
Adaptive Learning System for Waste Sorting,Build an adaptive learning platform focused on waste sorting with personalized content and progress tracking for learners.,Education Technology,"Video Streaming, Django",2022.0,
AR-based Resume Screening Visualization,Create an immersive AR/VR experience to visualize or simulate resume screening for training and interactive exploration.,AR/VR,"Blender, ARKit, ARCore, Unity, C#",2023.0,
Automated Waste Sorting CI/CD Pipeline,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to waste sorting reliably.,DevOps,"Terraform, Ansible, Kubernetes, Docker",2024.0,
Embedded Disaster Response Monitoring Unit,"Develop a low-power embedded unit for monitoring or controlling disaster response, optimized for resource constraints.",Embedded Systems,"FreeRTOS, Microcontrollers, C++, Serial Communication",2023.0,
Mobile App for Attendance Management,Create a cross-platform mobile application to help users manage attendance with an intuitive UI and backend services.,Mobile Development,"React Native, iOS SDK, Swift",2023.0,
Network Noise Monitoring Monitoring Dashboard,Develop monitoring and optimization techniques to improve network performance for noise monitoring scenarios using simulation and real traces.,Networks,"Wireshark, Cisco",2023.0,
AI-based Language Learning Intrusion Detection System,"Implement security tools and experiments to detect, prevent or analyze attacks related to language learning, with focus on practical defenses and testing.",Cybersecurity,"Snort, Kali Linux",2024.0,
Protein Medical Imaging Prediction using ML,"Apply computational methods to analyze biological data related to medical imaging, enabling insights into sequences, structures, or functions.",Bioinformatics,"Biopython, Python, R, BLAST",2022.0,
Progressive Web App for Remote Monitoring,"Build a web platform that enables users to manage and interact with remote monitoring data, featuring authentication, dashboards, and real-time updates.",Web Development,"HTML, JavaScript",2022.0,
SDN-based Inventory Traffic Optimizer,Develop monitoring and optimization techniques to improve network performance for inventory scenarios using simulation and real traces.,Networks,"TCP/IP, SDN, Cisco",2024.0,
Adaptive Learning System for Music Recommendation,Build an adaptive learning platform focused on music recommendation with personalized content and progress tracking for learners.,Education Technology,"LMS, Firebase, Video Streaming, Django, React",2024.0,
Predictive Model for Virtual Classroom,A data-driven project that collects and analyses virtual classroom data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"Jupyter, Matplotlib",2023.0,
Air Quality Platform with Real-time Features,"Build a web platform that enables users to manage and interact with air quality data, featuring authentication, dashboards, and real-time updates.",Web Development,"MongoDB, CSS, Next.js",2022.0,
Usability Study and Prototype for Waste Sorting,Design and evaluate an interactive interface that improves user experience around waste sorting through prototyping and user studies.,Human-Computer Interaction,"Figma, A/B Testing, React, User Studies",2025.0,
Adaptive Energy Consumption Interface,Design and evaluate an interactive interface that improves user experience around energy consumption through prototyping and user studies.,Human-Computer Interaction,"React, A/B Testing, Figma, User Studies",2024.0,
Scalable Plant Disease on Cloud,"Implement a scalable cloud solution for processing plant disease workloads, using containerization and orchestration for reliability.",Cloud Computing,"Azure, GCP",2024.0,
Network Elderly Care Monitoring Dashboard,Develop monitoring and optimization techniques to improve network performance for elderly care scenarios using simulation and real traces.,Networks,"SDN, Cisco",2025.0,
AI-powered Speech Emotion Predictor,This project develops an AI model to speech emotion by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"Keras, HuggingFace",2022.0,
Path Planning for Medical Imaging Robot,"Develop a robotic system capable of performing medical imaging tasks autonomously using sensors, actuators and planning algorithms.",Robotics,"C++, Python, OpenCV, Lidar, Motor Drivers",2025.0,
Progressive Web App for Medical Imaging,"Build a web platform that enables users to manage and interact with medical imaging data, featuring authentication, dashboards, and real-time updates.",Web Development,"Express, MongoDB, Next.js, HTML, CSS",2023.0,
Protein Elderly Care Prediction using ML,"Apply computational methods to analyze biological data related to elderly care, enabling insights into sequences, structures, or functions.",Bioinformatics,"Nextflow, Python",2023.0,
Text Classification for Fake News,"Build an NLP system to process fake news text, performing classification, summarization or conversational tasks.",Natural Language Processing,"HuggingFace, GPT",2024.0,
Predictive Model for Face Mask Detection,A data-driven project that collects and analyses face mask detection data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"SQL, Matplotlib, Jupyter, Python",2023.0,
Recommendations for Student Performance on E-commerce,Build an intelligent storefront or recommendation system to enhance student performance shopping and transaction workflows online.,E-commerce,"MongoDB, React, Firebase, Stripe API, Node.js",2023.0,
Deepfake Detection Detection using CNNs,This project develops an AI model to deepfake detection by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"scikit-learn, Transformers",2025.0,
Adaptive Fake News Interface,Design and evaluate an interactive interface that improves user experience around fake news through prototyping and user studies.,Human-Computer Interaction,"User Studies, A/B Testing, React, Figma",2025.0,
Protein Handwritten Digits Prediction using ML,"Apply computational methods to analyze biological data related to handwritten digits, enabling insights into sequences, structures, or functions.",Bioinformatics,"Nextflow, Biopython, BLAST",2024.0,
AI-based Energy Consumption Intrusion Detection System,"Implement security tools and experiments to detect, prevent or analyze attacks related to energy consumption, with focus on practical defenses and testing.",Cybersecurity,"Metasploit, Nmap, Snort, Kali Linux, Wireshark",2025.0,
Network License Plate Monitoring Dashboard,Develop monitoring and optimization techniques to improve network performance for license plate scenarios using simulation and real traces.,Networks,"SDN, OpenFlow, Wireshark",2023.0,
Recommendations for Emotion Recognition on E-commerce,Build an intelligent storefront or recommendation system to enhance emotion recognition shopping and transaction workflows online.,E-commerce,"Node.js, Firebase, Stripe API, MongoDB",2023.0,
VR Training Simulator for Traffic,Create an immersive AR/VR experience to visualize or simulate traffic for training and interactive exploration.,AR/VR,"Blender, ARKit, ARCore, C#, Unity",2024.0,
Predictive Model for Student Performance,A data-driven project that collects and analyses student performance data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"Pandas, Seaborn, Jupyter, Python",2024.0,
Adaptive Healthcare Interface,Design and evaluate an interactive interface that improves user experience around healthcare through prototyping and user studies.,Human-Computer Interaction,"React, Figma, A/B Testing, User Studies",2023.0,
Automated Supply Chain CI/CD Pipeline,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to supply chain reliably.,DevOps,"Terraform, Ansible, CI/CD, Docker",2024.0,
Genomic Deception Detection Analysis Pipeline,"Apply computational methods to analyze biological data related to deception detection, enabling insights into sequences, structures, or functions.",Bioinformatics,"Biopython, BLAST",2025.0,
Disaster Response Platform with Real-time Features,"Build a web platform that enables users to manage and interact with disaster response data, featuring authentication, dashboards, and real-time updates.",Web Development,"Next.js, JavaScript",2025.0,
Autonomous Traffic with Reinforcement Learning,This project develops an AI model to traffic by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"Keras, TensorFlow",2024.0,
Secure Handwritten Digits Framework,"Implement security tools and experiments to detect, prevent or analyze attacks related to handwritten digits, with focus on practical defenses and testing.",Cybersecurity,"Nmap, Docker, Wireshark, Snort, Kali Linux",2022.0,
Automated Virtual Classroom CI/CD Pipeline,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to virtual classroom reliably.,DevOps,"Ansible, Docker, Terraform, CI/CD, Kubernetes",2024.0,
Autonomous Autonomous Delivery with Reinforcement Learning,This project develops an AI model to autonomous delivery by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"PyTorch, scikit-learn, TensorFlow",2025.0,
Real-time Language Learning Detection System,Use computer vision techniques to detect and analyze language learning from images or video in real-time with high accuracy.,Computer Vision,"TensorFlow, YOLO, Python, MediaPipe",2025.0,
IoT-based Handwritten Digits Monitoring System,"Design and prototype an IoT system for monitoring handwritten digits using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"Python, C++, ESP32, Arduino",2025.0,
Automated Water Quality CI/CD Pipeline,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to water quality reliably.,DevOps,"Ansible, CI/CD",2025.0,
HR Analytics Recognition using Computer Vision,Use computer vision techniques to detect and analyze hr analytics from images or video in real-time with high accuracy.,Computer Vision,"Python, MediaPipe, YOLO, TensorFlow",2025.0,
Language Learning Vulnerability Scanner,"Implement security tools and experiments to detect, prevent or analyze attacks related to language learning, with focus on practical defenses and testing.",Cybersecurity,"Metasploit, Python",2022.0,
Low-power Parking Slot Detection Controller,"Develop a low-power embedded unit for monitoring or controlling parking slot detection, optimized for resource constraints.",Embedded Systems,"Microcontrollers, Serial Communication",2025.0,
Autonomous Face Mask Detection Robot,"Develop a robotic system capable of performing face mask detection tasks autonomously using sensors, actuators and planning algorithms.",Robotics,"OpenCV, Motor Drivers, C++, Python",2023.0,
Smart Contract-based Energy Trading System,Design a decentralized application using smart contracts to manage energy trading transactions with transparency and immutability.,Blockchain,"Solidity, Truffle, IPFS, Ethereum",2024.0,
Usability Study and Prototype for Sentiment,Design and evaluate an interactive interface that improves user experience around sentiment through prototyping and user studies.,Human-Computer Interaction,"User Studies, Figma, A/B Testing, React",2022.0,
Intelligent Attendance Storefront,Build an intelligent storefront or recommendation system to enhance attendance shopping and transaction workflows online.,E-commerce,"MongoDB, Stripe API",2024.0,
Smart Student Performance using IoT,"Design and prototype an IoT system for monitoring student performance using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"Python, MQTT",2022.0,
Decentralized Deception Detection Marketplace,Design a decentralized application using smart contracts to manage deception detection transactions with transparency and immutability.,Blockchain,"Truffle, Web3.js, IPFS, Hardhat, Solidity",2025.0,
Remote Resume Screening Control via MQTT,"Design and prototype an IoT system for monitoring resume screening using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"Python, Arduino, C++, ESP32, Raspberry Pi",2024.0,
Decentralized Sentiment Marketplace,Design a decentralized application using smart contracts to manage sentiment transactions with transparency and immutability.,Blockchain,"Hardhat, Web3.js, Solidity, Ethereum",2023.0,
Smart Autonomous Delivery using IoT,"Design and prototype an IoT system for monitoring autonomous delivery using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"Arduino, Sensors, ESP32",2023.0,
Secure Time Series Forecasting Framework,"Implement security tools and experiments to detect, prevent or analyze attacks related to time series forecasting, with focus on practical defenses and testing.",Cybersecurity,"Kali Linux, Nmap, Wireshark",2024.0,
Decentralized Weather Marketplace,Design a decentralized application using smart contracts to manage weather transactions with transparency and immutability.,Blockchain,"Web3.js, Ethereum",2025.0,
Intelligent Sign Language Storefront,Build an intelligent storefront or recommendation system to enhance sign language shopping and transaction workflows online.,E-commerce,"React, Node.js",2022.0,
Smart Contract-based License Plate System,Design a decentralized application using smart contracts to manage license plate transactions with transparency and immutability.,Blockchain,"Ethereum, Web3.js",2022.0,
AR-based Document Summarization Visualization,Create an immersive AR/VR experience to visualize or simulate document summarization for training and interactive exploration.,AR/VR,"ARKit, Blender",2025.0,
Edge-based License Plate Analytics,"Process license plate data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"TensorFlow Lite, Raspberry Pi, Edge TPU, Docker",2024.0,
Waste Management Detection using CNNs,This project develops an AI model to waste management by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"Transformers, OpenAI API, Python, scikit-learn, Keras",2022.0,
Marketplace for Attendance,"Build a web platform that enables users to manage and interact with attendance data, featuring authentication, dashboards, and real-time updates.",Web Development,"CSS, JavaScript, Next.js",2024.0,
Network Deepfake Detection Monitoring Dashboard,Develop monitoring and optimization techniques to improve network performance for deepfake detection scenarios using simulation and real traces.,Networks,"OpenFlow, Cisco, Wireshark, SDN, TCP/IP",2025.0,
Remote Supply Chain Control via MQTT,"Design and prototype an IoT system for monitoring supply chain using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"LoRa, MQTT, Raspberry Pi",2024.0,
Usability Study and Prototype for Remote Monitoring,Design and evaluate an interactive interface that improves user experience around remote monitoring through prototyping and user studies.,Human-Computer Interaction,"User Studies, React",2023.0,
Scalable Sentiment on Cloud,"Implement a scalable cloud solution for processing sentiment workloads, using containerization and orchestration for reliability.",Cloud Computing,"AWS, Terraform, Kubernetes, Docker, Azure",2022.0,
Low-power Student Performance Controller,"Develop a low-power embedded unit for monitoring or controlling student performance, optimized for resource constraints.",Embedded Systems,"C, FreeRTOS, C++, Microcontrollers",2025.0,
Predictive Model for Elderly Care,A data-driven project that collects and analyses elderly care data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"Matplotlib, Python, NumPy, SQL",2023.0,
Genomic Music Recommendation Analysis Pipeline,"Apply computational methods to analyze biological data related to music recommendation, enabling insights into sequences, structures, or functions.",Bioinformatics,"R, BLAST, Python, Biopython",2024.0,
AR-based Deepfake Detection Visualization,Create an immersive AR/VR experience to visualize or simulate deepfake detection for training and interactive exploration.,AR/VR,"Unity, Unreal Engine, C#, ARKit",2025.0,
Customer Churn Chatbot with NLP,"Build an NLP system to process customer churn text, performing classification, summarization or conversational tasks.",Natural Language Processing,"spaCy, GPT, BERT",2022.0,
Energy Trading Analysis and Prediction System,A data-driven project that collects and analyses energy trading data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"SQL, Matplotlib, Jupyter, Seaborn",2024.0,
AR-based Water Quality Visualization,Create an immersive AR/VR experience to visualize or simulate water quality for training and interactive exploration.,AR/VR,"C#, ARKit",2022.0,
Network Resume Screening Monitoring Dashboard,Develop monitoring and optimization techniques to improve network performance for resume screening scenarios using simulation and real traces.,Networks,"Wireshark, SDN",2025.0,
Healthcare Analysis and Prediction System,A data-driven project that collects and analyses healthcare data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"Jupyter, Seaborn, Pandas, scikit-learn",2023.0,
IoT-based Healthcare Monitoring System,"Design and prototype an IoT system for monitoring healthcare using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"ESP32, Raspberry Pi, MQTT, Python, LoRa",2024.0,
Text Classification for Air Quality,"Build an NLP system to process air quality text, performing classification, summarization or conversational tasks.",Natural Language Processing,"NLTK, BERT, HuggingFace, GPT",2024.0,
Automated Document Summarization CI/CD Pipeline,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to document summarization reliably.,DevOps,"Kubernetes, Terraform, Docker, CI/CD, Jenkins",2022.0,
Remote Document Summarization Control via MQTT,"Design and prototype an IoT system for monitoring document summarization using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"C++, ESP32, Sensors",2025.0,
Handwritten Digits Vulnerability Scanner,"Implement security tools and experiments to detect, prevent or analyze attacks related to handwritten digits, with focus on practical defenses and testing.",Cybersecurity,"Metasploit, Wireshark, Docker",2024.0,
Marketplace for Parking,"Build a web platform that enables users to manage and interact with parking data, featuring authentication, dashboards, and real-time updates.",Web Development,"Next.js, MongoDB, Express, Node.js, Django",2023.0,
Text Classification for Plant Disease,"Build an NLP system to process plant disease text, performing classification, summarization or conversational tasks.",Natural Language Processing,"BERT, HuggingFace",2024.0,
Scalable License Plate on Cloud,"Implement a scalable cloud solution for processing license plate workloads, using containerization and orchestration for reliability.",Cloud Computing,"Kubernetes, AWS, GCP, Azure",2024.0,
Data-driven Sentiment Recommendation Engine,A data-driven project that collects and analyses sentiment data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"Pandas, NumPy",2024.0,
Automated Autonomous Delivery CI/CD Pipeline,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to autonomous delivery reliably.,DevOps,"Ansible, Docker, Kubernetes, CI/CD, Terraform",2024.0,
Drone Navigation Analysis and Prediction System,A data-driven project that collects and analyses drone navigation data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"Pandas, NumPy, Matplotlib, SQL",2022.0,
Adaptive Drone Navigation Interface,Design and evaluate an interactive interface that improves user experience around drone navigation through prototyping and user studies.,Human-Computer Interaction,"User Studies, React, A/B Testing, Figma",2025.0,
Adaptive Learning System for Waste Management,Build an adaptive learning platform focused on waste management with personalized content and progress tracking for learners.,Education Technology,"Firebase, React",2024.0,
Infrastructure-as-Code for Elderly Care,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to elderly care reliably.,DevOps,"Kubernetes, Jenkins, Docker",2025.0,
Real-time Supply Chain Detection System,Use computer vision techniques to detect and analyze supply chain from images or video in real-time with high accuracy.,Computer Vision,"PyTorch, OpenCV, YOLO",2024.0,
Student Performance Chatbot with NLP,"Build an NLP system to process student performance text, performing classification, summarization or conversational tasks.",Natural Language Processing,"GPT, Transformers, NLTK, spaCy, HuggingFace",2023.0,
Cross-platform Weather App using Flutter,Create a cross-platform mobile application to help users manage weather with an intuitive UI and backend services.,Mobile Development,"React Native, iOS SDK, Android SDK",2022.0,
Remote Resume Parsing Control via MQTT,"Design and prototype an IoT system for monitoring resume parsing using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"C++, LoRa",2024.0,
e-Learning Platform for Emotion Recognition,Build an adaptive learning platform focused on emotion recognition with personalized content and progress tracking for learners.,Education Technology,"Django, Video Streaming, Firebase",2024.0,
AR-based Sentiment Visualization,Create an immersive AR/VR experience to visualize or simulate sentiment for training and interactive exploration.,AR/VR,"ARCore, C#, ARKit, Unity, Blender",2023.0,
Protein Face Mask Detection Prediction using ML,"Apply computational methods to analyze biological data related to face mask detection, enabling insights into sequences, structures, or functions.",Bioinformatics,"Nextflow, BLAST, Biopython, R, Python",2025.0,
Adaptive Learning System for Student Performance,Build an adaptive learning platform focused on student performance with personalized content and progress tracking for learners.,Education Technology,"LMS, Firebase",2024.0,
Remote Crowd Counting Control via MQTT,"Design and prototype an IoT system for monitoring crowd counting using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"Python, Arduino",2025.0,
Scalable Drone Navigation on Cloud,"Implement a scalable cloud solution for processing drone navigation workloads, using containerization and orchestration for reliability.",Cloud Computing,"AWS, Azure, Docker, Kubernetes, Terraform",2024.0,
Infrastructure-as-Code for Resume Parsing,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to resume parsing reliably.,DevOps,"CI/CD, Jenkins, Kubernetes",2023.0,
Text Classification for Retail Sales,"Build an NLP system to process retail sales text, performing classification, summarization or conversational tasks.",Natural Language Processing,"spaCy, NLTK, Transformers",2025.0,
Genomic Waste Sorting Analysis Pipeline,"Apply computational methods to analyze biological data related to waste sorting, enabling insights into sequences, structures, or functions.",Bioinformatics,"Nextflow, Python, R, BLAST, Biopython",2023.0,
Secure Deepfake Detection Framework,"Implement security tools and experiments to detect, prevent or analyze attacks related to deepfake detection, with focus on practical defenses and testing.",Cybersecurity,"Kali Linux, Metasploit, Wireshark, Docker, Snort",2022.0,
VR Training Simulator for Language Learning,Create an immersive AR/VR experience to visualize or simulate language learning for training and interactive exploration.,AR/VR,"Unity, ARKit",2024.0,
AI-powered Language Learning Predictor,This project develops an AI model to language learning by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"Keras, scikit-learn, Python",2024.0,
Smart Contract-based Traffic Sign System,Design a decentralized application using smart contracts to manage traffic sign transactions with transparency and immutability.,Blockchain,"IPFS, Solidity, Web3.js",2022.0,
Edge-based Deception Detection Analytics,"Process deception detection data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"Docker, Edge TPU, TensorFlow Lite, Raspberry Pi",2023.0,
Smart Customer Churn using Deep Learning,This project develops an AI model to customer churn by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"scikit-learn, OpenAI API, Transformers, Python",2025.0,
Genomic Language Learning Analysis Pipeline,"Apply computational methods to analyze biological data related to language learning, enabling insights into sequences, structures, or functions.",Bioinformatics,"Python, Nextflow, R",2023.0,
Time Series Forecasting Analysis and Prediction System,A data-driven project that collects and analyses time series forecasting data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"Matplotlib, scikit-learn",2024.0,
Recommendations for Medical Imaging on E-commerce,Build an intelligent storefront or recommendation system to enhance medical imaging shopping and transaction workflows online.,E-commerce,"Node.js, Stripe API",2024.0,
Data-driven Supply Chain Recommendation Engine,A data-driven project that collects and analyses supply chain data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"Pandas, Seaborn, scikit-learn, Jupyter",2025.0,
Usability Study and Prototype for Emotion Recognition,Design and evaluate an interactive interface that improves user experience around emotion recognition through prototyping and user studies.,Human-Computer Interaction,"A/B Testing, User Studies, React",2024.0,
Edge-based Water Quality Analytics,"Process water quality data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"Edge TPU, TensorFlow Lite, Docker, Raspberry Pi",2023.0,
Usability Study and Prototype for Customer Churn,Design and evaluate an interactive interface that improves user experience around customer churn through prototyping and user studies.,Human-Computer Interaction,"User Studies, A/B Testing",2025.0,
Autonomous Crop Yield Robot,"Develop a robotic system capable of performing crop yield tasks autonomously using sensors, actuators and planning algorithms.",Robotics,"ROS, Python, Motor Drivers, Arduino, C++",2024.0,
Automated Traffic Sign CI/CD Pipeline,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to traffic sign reliably.,DevOps,"Terraform, CI/CD, Kubernetes",2024.0,
Traffic Sign Platform with Real-time Features,"Build a web platform that enables users to manage and interact with traffic sign data, featuring authentication, dashboards, and real-time updates.",Web Development,"Django, Express, Next.js, JavaScript",2023.0,
IoT-based Sign Language Monitoring System,"Design and prototype an IoT system for monitoring sign language using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"MQTT, Python, ESP32, Sensors, Raspberry Pi",2022.0,
Drone Navigation Platform with Real-time Features,"Build a web platform that enables users to manage and interact with drone navigation data, featuring authentication, dashboards, and real-time updates.",Web Development,"CSS, Express, Next.js, JavaScript, HTML",2024.0,
Inventory Recognition using Computer Vision,Use computer vision techniques to detect and analyze inventory from images or video in real-time with high accuracy.,Computer Vision,"YOLO, PyTorch, Python",2022.0,
Mobile App for Time Series Forecasting Management,Create a cross-platform mobile application to help users manage time series forecasting with an intuitive UI and backend services.,Mobile Development,"iOS SDK, Swift, Flutter",2024.0,
Network Sentiment Monitoring Dashboard,Develop monitoring and optimization techniques to improve network performance for sentiment scenarios using simulation and real traces.,Networks,"OpenFlow, TCP/IP, SDN",2023.0,
Protein Document Summarization Prediction using ML,"Apply computational methods to analyze biological data related to document summarization, enabling insights into sequences, structures, or functions.",Bioinformatics,"R, Python, Nextflow, Biopython, BLAST",2024.0,
Edge-based Customer Churn Analytics,"Process customer churn data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"TensorFlow Lite, Docker, Edge TPU",2025.0,
Real-time Plant Disease Processing at the Edge,"Process plant disease data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"TensorFlow Lite, Docker, Edge TPU",2023.0,
Edge-based Elderly Care Analytics,"Process elderly care data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"TensorFlow Lite, Raspberry Pi, Docker, Edge TPU",2024.0,
e-Learning Platform for Deception Detection,Build an adaptive learning platform focused on deception detection with personalized content and progress tracking for learners.,Education Technology,"Video Streaming, Django, React",2025.0,
e-Learning Platform for Weather,Build an adaptive learning platform focused on weather with personalized content and progress tracking for learners.,Education Technology,"React, Video Streaming",2025.0,
SDN-based Sign Language Traffic Optimizer,Develop monitoring and optimization techniques to improve network performance for sign language scenarios using simulation and real traces.,Networks,"OpenFlow, TCP/IP, Wireshark, Cisco, SDN",2024.0,
Infrastructure-as-Code for Inventory,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to inventory reliably.,DevOps,"Terraform, Jenkins",2023.0,
VR Training Simulator for Medical Imaging,Create an immersive AR/VR experience to visualize or simulate medical imaging for training and interactive exploration.,AR/VR,"C#, ARCore, Unreal Engine",2023.0,
Text Classification for Parking Slot Detection,"Build an NLP system to process parking slot detection text, performing classification, summarization or conversational tasks.",Natural Language Processing,"spaCy, Transformers, NLTK, HuggingFace, BERT",2024.0,
e-Learning Platform for Smart Home,Build an adaptive learning platform focused on smart home with personalized content and progress tracking for learners.,Education Technology,"Firebase, Video Streaming, React",2025.0,
Protein Resume Parsing Prediction using ML,"Apply computational methods to analyze biological data related to resume parsing, enabling insights into sequences, structures, or functions.",Bioinformatics,"BLAST, Nextflow, Python, R, Biopython",2024.0,
Smart Contract-based Fraud System,Design a decentralized application using smart contracts to manage fraud transactions with transparency and immutability.,Blockchain,"Solidity, Web3.js",2024.0,
Genomic Elderly Care Analysis Pipeline,"Apply computational methods to analyze biological data related to elderly care, enabling insights into sequences, structures, or functions.",Bioinformatics,"Nextflow, Biopython",2025.0,
Embedded Noise Monitoring Monitoring Unit,"Develop a low-power embedded unit for monitoring or controlling noise monitoring, optimized for resource constraints.",Embedded Systems,"C, FreeRTOS, Serial Communication, Microcontrollers",2024.0,
Real-time Energy Consumption Detection System,Use computer vision techniques to detect and analyze energy consumption from images or video in real-time with high accuracy.,Computer Vision,"PyTorch, YOLO, OpenCV, TensorFlow, MediaPipe",2024.0,
Text Classification for Deepfake Detection,"Build an NLP system to process deepfake detection text, performing classification, summarization or conversational tasks.",Natural Language Processing,"spaCy, GPT, BERT",2024.0,
Traffic Analysis and Prediction System,A data-driven project that collects and analyses traffic data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"SQL, NumPy, Jupyter, Pandas",2024.0,
Real-time Student Performance Processing at the Edge,"Process student performance data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"TensorFlow Lite, Docker, Raspberry Pi, Edge TPU",2024.0,
Real-time Deception Detection Processing at the Edge,"Process deception detection data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"Docker, Edge TPU, TensorFlow Lite, Raspberry Pi",2025.0,
VR Training Simulator for License Plate,Create an immersive AR/VR experience to visualize or simulate license plate for training and interactive exploration.,AR/VR,"ARCore, ARKit",2023.0,
SDN-based Traffic Sign Traffic Optimizer,Develop monitoring and optimization techniques to improve network performance for traffic sign scenarios using simulation and real traces.,Networks,"OpenFlow, SDN",2023.0,
Adaptive Learning System for HR Analytics,Build an adaptive learning platform focused on hr analytics with personalized content and progress tracking for learners.,Education Technology,"Django, React, Firebase",2025.0,
